,Open,High,Low,Close,open,high,low,close,RSI,MACD,MACD_signal,ATR,STOCH_K,STOCH_D,BB_upper,BB_middle,BB_lower,momentum,volatility,return_1,return_2,return_3,return_5,return_10
2016-04-26,24.314,24.314,23.947,24.321,,,,,,,,,,,,,,,,,,,,
2016-04-27,23.897,23.897,23.897,23.902,,,,,,,,,,,,,,,,,,,,
2016-04-28,23.946,23.983,23.946,23.897,,,,,,,,,,,,,,,,,,,,
2016-04-29,24.617,24.69,24.463,24.526,,,,,,,,,,,,,,,,,,,,
2016-05-02,23.941,23.941,23.748,23.954,,,,,,,,,,,,,,,,,,,,
2016-05-03,23.565,23.565,23.565,23.711,,,,,,,,,,,,,,,,,,,,
2016-05-04,23.508,23.649,23.508,23.565,,,,,,,,,,,,,,,,,,,,
2016-05-05,23.641,23.641,23.185,23.594,,,,,,,,,,,,,,,,,,,,
2016-05-06,24.171,24.192,23.768,23.873,,,,,,,,,,,,,,,,,,,,
2016-05-09,23.105,23.197,23.105,23.199,,,,,,,,,,,,,,,,,,,,
2016-05-10,23.296,23.325,23.296,23.197,,,,,,,,,,,,,,,,,,,,
2016-05-11,23.237,23.237,23.227,23.325,,,,,,,,,,,,,,,,,,,,
2016-05-12,23.212,23.212,23.128,23.227,,,,,,,,,,,,,,,,,,,,
2016-05-13,23.822,23.822,23.651,23.727,,,,,,,,,,,,,,,,,,,,
2016-05-16,23.246,23.246,23.246,23.187,,,,,,,,,,,,,,,,,,,,
2016-05-17,23.24,23.24,23.192,23.246,,,,,,,,,,,,,,,,,,,,
2016-05-18,23.107,23.107,22.958,23.192,,,,,,,,,,,,,,,,,,,,
2016-05-19,23.052,23.052,23.018,22.958,,,,,,,,,,,,,,,,,,,,
2016-05-20,23.66,23.691,23.553,23.625,,,,,,,,,,,,,,,,,,,,
2016-05-23,22.932,22.932,22.772,22.92,,,,,,,,,,,,,,,,,,,,
2016-05-24,22.962,22.962,22.85,22.772,,,,,,,,,,,,,,,,,,,,
2016-05-25,22.77,22.802,22.77,22.85,,,,,,,,,,,,,,,,,,,,
2016-05-26,22.787,22.789,22.787,22.802,,,,,,,,,,,,,,,,,,,,
2016-05-27,23.43,23.479,23.295,23.35,,,,,,,,,,,,,,,,,,,,
2016-05-30,22.846,22.98,22.846,22.836,,,,,,,,,,,,,,,,,,,,
2016-05-31,22.987,23.003,22.987,22.98,,,,,,,,,,,,,,,,,,,,
2016-06-01,22.92,22.92,22.886,23.003,,,,,,,,,,,,,,,,,,,,
2016-06-02,23.018,23.018,22.962,23.003,,,,,,,,,,,,,,,,,,,,
2016-06-03,23.549,23.82,23.507,23.681,,,,,,,,,,,,,,,,,,,,
2016-06-06,23.11,23.288,23.11,23.095,,,,,,,,,,,,,,,,,,,,
2016-06-07,23.299,23.32,23.299,23.288,,,,,,,,,,,,,,,,,,,,
2016-06-08,23.363,23.363,23.343,23.32,,,,,,,,,,,,,,,,,,,,
2016-06-09,23.351,23.351,23.23,23.343,,,,,,,,,,,,,,,,,,,,
2016-06-10,23.962,23.972,23.768,23.806,,,,,,,,,,,,,,,,,,,,
2016-06-13,23.203,23.203,23.152,23.324,,,,,,,,,,,,,,,,,,,,
2016-06-14,23.21,23.278,23.21,23.152,,,,,,,,,,,,,,,,,,,,
2016-06-15,23.256,23.256,23.197,23.244,,,,,,,,,,,,,,,,,,,,
2016-06-16,23.165,23.279,23.165,23.197,,,,,,,,,,,,,,,,,,,,
2016-06-17,23.833,23.96,23.815,23.944,,,,,,,,,,,,,,,,,,,,
2016-06-20,23.416,23.42,23.416,23.433,,,,,,,,,,,,,,,,,,,,
2016-06-21,23.443,23.443,23.421,23.452,,,,,,,,,,,,,,,,,,,,
2016-06-22,23.414,23.578,23.414,23.398,,,,,,,,,,,,,,,,,,,,
2016-06-23,23.652,23.652,23.333,23.702,,,,,,,,,,,,,,,,,,,,
2016-06-24,24.098,24.299,23.644,24.182,,,,,,,,,,,,,,,,,,,,
2016-06-27,23.243,23.268,23.243,23.2,,,,,,,,,,,,,,,,,,,,
2016-06-28,23.324,23.383,23.324,23.299,,,,,,,,,,,,,,,,,,,,
2016-06-29,23.398,23.398,23.299,23.319,,,,,,,,,,,,,,,,,,,,
2016-06-30,23.369,23.44,23.347,23.36,,,,,,,,,,,,,,,,,,,,
2016-07-01,23.964,24.125,23.893,24.114,,,,,,,,,,,,,,,,,,,,
2016-07-04,23.502,23.542,23.502,23.533,,,,,,,,,,,,,,,,,,,,
2016-07-05,23.558,23.558,23.528,23.609,,,,,,,,,,,,,,,,,,,,
2016-07-06,23.642,23.642,23.594,23.608,,,,,,,,,,,,,,,,,,,,
2016-07-07,23.577,23.583,23.577,23.505,,,,,,,,,,,,,,,,,,,,
2016-07-08,24.166,24.457,24.152,24.391,,,,,,,,,,,,,,,,,,,,
2016-07-11,23.561,23.831,23.561,23.558,,,,,,,,,,,,,,,,,,,,
2016-07-12,23.83,23.83,23.791,23.877,,,,,,,,,,,,,,,,,,,,
2016-07-13,23.673,23.681,23.673,23.71,,,,,,,,,,,,,,,,,,,,
2016-07-14,23.652,23.747,23.652,23.683,,,,,,,,,,,,,,,,,,,,
2016-07-15,24.349,24.435,24.147,24.157,,,,,,,,,,,,,,,,,,,,
2016-07-18,23.505,23.505,23.354,23.537,,,,,,,,,,,,,,,,,,,,
2016-07-19,23.466,23.466,23.303,23.458,,,,,,,,,,,,,,,,,,,,
2016-07-20,23.22,23.283,23.22,23.227,,,,,,,,,,,,,,,,,,,,
2016-07-21,23.287,23.287,23.267,23.261,,,,,,,,,,,,,,,,,,,,
2016-07-22,23.981,24.007,23.791,23.888,,,,,,,,,,,,,,,,,,,,
2016-07-25,23.346,23.457,23.346,23.314,,,,,,,,,,,,,,,,,,,,
2016-07-26,23.474,23.474,23.274,23.452,,,,,,,,,,,,,,,,,,,,
2016-07-27,23.27,23.375,23.27,23.189,,,,,,,,,,,,,,,,,,,,
